objectid,área,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape
370,26054198.0688477,Realengo                  ,REALENGO                ,5,139,33,139,Realengo                  &area=139               ,Bangu,5.1,139,26054267.7784231,30896.8661660066
371,1519254.12988281,Vila Kosmos               ,IRAJA                   ,3,072,14,72,Vila Kosmos               &area=72                ,Madureira,3.3,72,1519258.19516718,6511.86661964862
372,3886225.66064453,Marechal Hermes           ,MADUREIRA               ,3,090,15,90,Marechal Hermes           &area=90                ,Madureira,3.3,90,3886236.03182952,11946.9847553327
373,1835710.64990234,Vicente de Carvalho       ,IRAJA                   ,3,073,14,73,Vicente de Carvalho       &area=73                ,Madureira,3.3,73,1835715.63933275,6753.0168459758
374,27417970.8330078,Paciência                 ,SANTA CRUZ              ,5,148,19,148,Paciência                 &area=148               ,Santa Cruz,5.3,148,27418044.1754382,34307.6121150518
375,2225644.96826172,Engenho da Rainha         ,INHAUMA                 ,3,055,12,55,Engenho da Rainha         &area=55                ,Inhaúma,3.4,55,2225650.90688793,9188.82244156841
376,2960855.18457031,Complexo do Alemão        ,COMPLEXO DO ALEMÃO      ,3,156,29,156,Complexo do Alemão        &area=156               ,Inhaúma,3.4,156,2960863.12474693,11998.4524328701
377,1101220.96240234,Vaz Lobo                  ,MADUREIRA               ,3,084,15,84,Vaz Lobo                  &area=84                ,Madureira,3.3,84,1101223.89912826,5030.57392694362
378,4865791.84277344,Padre Miguel              ,BANGU                   ,5,140,17,140,Padre Miguel              &area=140               ,Bangu,5.1,140,4865804.92019005,16274.2102798449
379,3037846.62695313,Bento Ribeiro             ,MADUREIRA               ,3,089,15,89,Bento Ribeiro             &area=89                ,Madureira,3.3,89,3037854.78567577,8506.04732439871
380,1255809.62109375,Turiaçú                   ,MADUREIRA               ,3,085,15,85,Turiaçú                   &area=85                ,Madureira,3.3,85,1255813.02198942,5378.19997814611
381,2199716.17089844,Bonsucesso                ,RAMOS                   ,3,040,10,40,Bonsucesso                &area=40                ,Ramos,3.1,40,2199722.08237738,8559.00617712874
382,3485274.29931641,Inhaúma                   ,INHAUMA                 ,3,054,12,54,Inhaúma                   &area=54                ,Inhaúma,3.4,54,3485283.65837399,13164.8132167078
383,1747526.48583984,Tomás Coelho              ,INHAUMA                 ,3,056,12,56,Tomás Coelho              &area=56                ,Inhaúma,3.4,56,1747531.19376336,8403.84917314806
384,8319614.02734375,Santíssimo                ,CAMPO GRANDE            ,5,143,18,143,Santíssimo                &area=143               ,Campo Grande,5.2,143,8319636.3345545,15804.0407195392
385,3787613.32128906,Madureira                 ,MADUREIRA               ,3,083,15,83,Madureira                 &area=83                ,Madureira,3.3,83,3787623.42644688,9574.37484536838
386,2071126.77880859,Osvaldo Cruz              ,MADUREIRA               ,3,088,15,88,Osvaldo Cruz              &area=88                ,Madureira,3.3,88,2071132.37489532,6942.74860846193
387,125044295.352051,Santa Cruz                ,SANTA CRUZ              ,5,149,19,149,Santa Cruz                &area=149               ,Santa Cruz,5.3,149,125044629.037668,65717.4793410213
388,1975949.31054688,Magalhães Bastos          ,REALENGO                ,5,138,33,138,Magalhães Bastos          &area=138               ,Bangu,5.1,138,1975954.60138644,6902.6639444557
389,16908604.956543,Senador Camará            ,BANGU                   ,5,142,17,142,Senador Camará            &area=142               ,Bangu,5.1,142,16908650.1513417,25798.2415365183
390,1924149.28466797,Cavalcanti                ,MADUREIRA               ,3,080,15,80,Cavalcanti                &area=80                ,Madureira,3.3,80,1924154.41282671,6248.04526721181
391,3252292.92871094,Campo dos Afonsos         ,REALENGO                ,5,136,33,136,Campo dos Afonsos         &area=136               ,Bangu,5.1,136,3252301.63675027,8075.66216688338
392,1157472.79248047,Higienópolis              ,INHAUMA                 ,3,050,12,50,Higienópolis              &area=50                ,Inhaúma,3.4,50,1157475.88634445,4944.39149877688
393,2618351.22753906,Manguinhos                ,RAMOS                   ,3,039,10,39,Manguinhos                &area=39                ,Ramos,3.1,39,2618358.25166317,8090.4094766418
394,708274.3046875,Engenheiro Leal           ,MADUREIRA               ,3,081,15,81,Engenheiro Leal           &area=81                ,Madureira,3.3,81,708276.174339956,3785.03173086857
395,1836420.02978516,Pilares                   ,MEIER                   ,3,071,13,71,Pilares                   &area=71                ,Méier,3.2,71,1836424.95767272,6828.73862438065
396,1440914.46484375,Del Castilho              ,INHAUMA                 ,3,053,12,53,Del Castilho              &area=53                ,Inhaúma,3.4,53,1440918.30813171,5294.82814605144
397,3887100.34375,Piedade                   ,MEIER                   ,3,069,13,69,Piedade                   &area=69                ,Méier,3.2,69,3887110.74719966,12326.548024802
398,2838970.70166016,Cascadura                 ,MADUREIRA               ,3,082,15,82,Cascadura                 &area=82                ,Madureira,3.3,82,2838978.32682666,9056.41603970981
399,4232214.78710938,Vila Valqueire            ,JACAREPAGUA             ,4,125,16,125,Vila Valqueire            &area=125               ,Jacarepaguá,4.1,125,4232226.08930893,9441.56990965384
